B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
770,Bill,cat,Goldfish,2,46.3,gray,1/22/2001,Bill Artist,bdeld@yale.edu,67 Maple Wood Parkway,El Bolsón,,Argentina,8430,false,false,3708817781,Bill Lovering,737-861-4952,Bill De Biasio,525-395-0440,Iams,1.68,twice a day,43.4,daily,21.8,friendly,laser pointer,bird seed,high
771,Danita,dog,Holland Lop,3,7.7,white,4/21/2004,Danita Guisby,dblasgenle@joomla.org,4 Independence Pass,Tajerouine,,Tunisia,,true,true,3726123634,Danita O'Rudden,571-432-3259,Danita Blasgen,354-790-3671,Hill's Science Diet,9.92,twice a day,78.4,daily,11.1,energetic,stuffed animal,catnip,low
772,Franklin,rabbit,Siamese,12,76.3,white,7/13/2000,Franklin Sweeny,fpatesellf@ucsd.edu,2 Lakewood Gardens Junction,Łysomice,,Poland,87-148,false,false,5063907164,Franklin McConway,101-291-6054,Franklin Patesel,879-624-1957,Iams,0.18,three times a day,8.2,daily,22.6,friendly,laser pointer,catnip,low
773,Pincas,fish,Parakeet,6,21.7,gray,5/22/2017,Pincas Carillo,pmccorleylg@stumbleupon.com,30165 Sullivan Circle,San Francisco,Guerrero,Mexico,41600,false,false,1750139949,Pincas Cisec,101-619-3796,Pincas McCorley,946-546-9919,Royal Canin,3.2,twice a day,78.5,3 times a week,7.2,energetic,chew toy,dog biscuit,high
774,Shandy,rabbit,Labrador Retriever,15,57.4,white,5/12/2008,Shandy Hanford,svealelh@cnet.com,67636 Debra Hill,Lewotola,,Indonesia,,true,true,5462154228,Shandy Lammerich,740-687-8408,Shandy Veale,932-390-9318,Royal Canin,4.63,twice a day,90.1,3 times a week,21.7,energetic,ball,carrot,low
775,Ruthie,cat,Goldfish,13,78.3,white,12/8/2022,Ruthie De Gregario,rspallsli@theatlantic.com,941 Dorton Center,Kashihara,,Japan,769-0105,true,false,6881523503,Ruthie Sex,323-562-8019,Ruthie Spalls,689-170-2472,Iams,3.81,once a day,108.6,daily,19.2,playful,chew toy,bird seed,high
776,Vally,cat,Parakeet,20,84.6,brown,10/14/2010,Vally Wellings,vharmestonlj@angelfire.com,06422 American Circle,Banī Zayd,,Palestinian Territory,,true,true,4641136480,Vally Reape,897-761-1505,Vally Harmeston,881-211-8761,Iams,5.39,once a day,82.9,daily,3.6,friendly,ball,fish flakes,low
777,Riordan,fish,Goldfish,10,10.9,orange,11/30/2018,Riordan Reveley,rabrylk@china.com.cn,87 Crownhardt Terrace,Bombardopolis,,Haiti,,true,false,8533228450,Riordan Tuck,330-842-0716,Riordan Abry,533-762-0283,Hill's Science Diet,3.65,three times a day,70.9,daily,11.5,shy,chew toy,fish flakes,moderate
778,Carlina,rabbit,Holland Lop,3,2,black,9/20/2019,Carlina Cashmore,cmarchelloll@symantec.com,7 Blaine Drive,Austin,Texas,United States,78737,false,true,5787808486,Carlina Girdwood,512-766-1932,Carlina Marchello,460-107-3164,Purina,3.81,twice a day,75.5,weekly,20.8,energetic,laser pointer,fish flakes,moderate
779,Erinn,dog,Holland Lop,3,92.4,brown,12/15/2002,Erinn Spoole,edutnalllm@china.com.cn,7 Stephen Center,Woippy,Lorraine,France,57148 CEDEX,true,true,9913848441,Erinn Felce,391-810-2228,Erinn Dutnall,190-764-1035,Iams,5.87,three times a day,50.9,daily,15,shy,chew toy,dog biscuit,moderate
780,Allen,dog,Labrador Retriever,6,62,orange,10/31/2004,Allen Blackie,ashalesln@arizona.edu,41692 Reindahl Pass,Balyqshy,,Kazakhstan,,false,false,8819357401,Allen Vassel,672-442-2327,Allen Shales,430-664-9987,Hill's Science Diet,2.66,three times a day,76,weekly,4.1,calm,ball,dog biscuit,high
781,Judas,bird,Labrador Retriever,18,21.8,white,12/30/2003,Judas Gorce,jbeadonlo@indiegogo.com,32 Grim Street,Petaling Jaya,Selangor,Malaysia,47307,false,true,8768529326,Judas Orpin,272-250-2931,Judas Beadon,591-544-9513,Royal Canin,8.29,three times a day,84.5,3 times a week,19.3,shy,ball,carrot,low
782,Felicity,bird,Holland Lop,0,29.5,white,3/19/2007,Felicity Manneville,fcolquitlp@issuu.com,4 Northland Street,Datuan,,China,,true,true,1525635172,Felicity Linscott,108-709-0080,Felicity Colquit,314-420-4712,Purina,2.5,twice a day,7.4,daily,12.2,shy,stuffed animal,dog biscuit,high
783,Lin,dog,Labrador Retriever,4,18.5,orange,5/28/2001,Lin Erni,ldanilinlq@theguardian.com,09 Donald Place,Golčův Jeníkov,,Czech Republic,582 82,false,true,2488261557,Lin Scraggs,348-303-0903,Lin Danilin,807-438-2884,Hill's Science Diet,5.03,once a day,119,weekly,4.5,friendly,laser pointer,carrot,high
784,Lars,bird,Siamese,1,13.1,orange,6/17/2009,Lars Byrkmyr,llambertslr@auda.org.au,01962 Emmet Court,Mahébourg,,Mauritius,,true,true,6035098482,Lars Chudleigh,786-587-0393,Lars Lamberts,201-561-9345,Blue Buffalo,4.79,once a day,49.2,3 times a week,16.4,friendly,feather wand,catnip,high
785,Shell,rabbit,Holland Lop,12,39.6,orange,3/18/2001,Shell Burrus,sesgatels@va.gov,851 Springview Road,Thuận Nam,,Vietnam,,false,false,3202065562,Shell Southall,536-550-2674,Shell Esgate,585-986-2782,Purina,9.95,twice a day,77.7,weekly,6.2,friendly,stuffed animal,dog biscuit,low
786,Jewell,fish,Labrador Retriever,5,58.2,gray,3/14/2001,Jewell Delea,jhubeauxlt@chicagotribune.com,3 Stang Lane,Kaliuda,,Indonesia,,false,true,2841247869,Jewell Saiger,287-709-1571,Jewell Hubeaux,806-165-8481,Iams,2.04,once a day,89.8,3 times a week,21.4,shy,feather wand,dog biscuit,high
787,Addy,dog,Labrador Retriever,15,61.5,brown,5/26/2022,Addy Bathow,apengellylu@google.it,71 Michigan Hill,Egvekinot,,Russia,461173,false,true,2795132065,Addy Merryweather,831-102-1529,Addy Pengelly,699-561-8423,Blue Buffalo,9.28,twice a day,51.3,daily,10.9,calm,ball,bird seed,moderate
788,Elisa,cat,Parakeet,13,3.4,white,12/15/2005,Elisa Kleine,erowantreelv@livejournal.com,5934 Butternut Court,Khantaghy,,Kazakhstan,,false,false,3455944493,Elisa cornhill,397-847-0327,Elisa Rowantree,121-845-0599,Royal Canin,5.63,once a day,114.5,weekly,19.9,calm,ball,bird seed,high
789,Lori,dog,Siamese,12,22.5,gray,8/12/2007,Lori Perrottet,lruttlw@domainmarket.com,22 Graceland Avenue,Marne-la-Vallée,Île-de-France,France,77602 CEDEX 3,true,false,2944143682,Lori Hardwich,719-717-6261,Lori Rutt,586-709-1260,Hill's Science Diet,9.81,twice a day,14.5,weekly,2,shy,laser pointer,carrot,high
790,Jarrett,cat,Siamese,2,67.2,brown,3/29/2019,Jarrett Brasier,jmortimerlx@sitemeter.com,520 Brown Plaza,Medenine,,Tunisia,,false,true,3114644686,Jarrett Niesegen,596-486-1428,Jarrett Mortimer,747-550-5485,Purina,7.66,once a day,36.6,daily,13.4,energetic,feather wand,catnip,moderate
791,Theresa,cat,Parakeet,12,44.4,orange,11/18/2010,Theresa Rowbottam,tfairneyly@ning.com,184 Badeau Point,Tongxing,,China,,true,true,2572567883,Theresa Guillon,677-665-9913,Theresa Fairney,106-548-5094,Purina,7.59,three times a day,42.6,daily,2.7,friendly,stuffed animal,bird seed,moderate
792,Vincent,dog,Holland Lop,4,54.6,white,1/21/2022,Vincent Crim,vmccrackanlz@walmart.com,70658 Heath Point,Jinjiahe,,China,,true,true,6524332052,Vincent Landsberg,744-874-6158,Vincent McCrackan,912-254-7263,Royal Canin,2.75,twice a day,35.9,weekly,14.8,energetic,stuffed animal,catnip,moderate
793,Mirabella,fish,Parakeet,11,41.7,black,4/11/2009,Mirabella Jacmar,msweatlandm0@wufoo.com,352 Texas Avenue,Goshogawara,,Japan,952-1505,true,false,4009850650,Mirabella Ganny,986-235-4993,Mirabella Sweatland,462-699-9685,Purina,8.39,twice a day,88.1,3 times a week,5.6,shy,laser pointer,fish flakes,moderate
794,Deeanne,rabbit,Parakeet,9,1.6,brown,4/1/2021,Deeanne Feavers,dpietranekm1@youku.com,436 Delladonna Junction,Quinta,Braga,Portugal,4860-077,true,false,6874504403,Deeanne Mayow,649-792-5783,Deeanne Pietranek,297-232-5912,Iams,9.25,three times a day,113.5,daily,6.2,energetic,chew toy,carrot,high
795,Law,bird,Parakeet,10,90.7,brown,7/5/2006,Law Jarad,lmeinekenm2@scribd.com,45 Delladonna Circle,Phu Khiao,,Thailand,36110,true,true,6675104050,Law Cabrera,867-569-2910,Law Meineken,331-463-6279,Iams,8.97,once a day,47.5,3 times a week,9.4,playful,stuffed animal,bird seed,high
796,Charo,bird,Labrador Retriever,17,28.2,brown,10/30/2020,Charo Harbertson,csabbinm3@bandcamp.com,7184 Barnett Street,Wanquan,,China,,false,false,5844775035,Charo Tenman,458-665-0835,Charo Sabbin,708-310-1836,Purina,3.34,twice a day,60.5,daily,14.4,friendly,chew toy,carrot,moderate
797,Dukie,bird,Labrador Retriever,9,86.4,brown,8/27/2017,Dukie Durie,ddobrovolnym4@marriott.com,28199 Utah Trail,Poroçan,,Albania,,false,true,7210688470,Dukie Worstall,532-930-5538,Dukie Dobrovolny,146-319-8169,Royal Canin,7.12,twice a day,11.9,daily,2.3,calm,chew toy,bird seed,low
798,Faustine,fish,Labrador Retriever,3,24.9,orange,2/18/2005,Faustine Von Salzberg,fdevalm5@geocities.com,1137 Lyons Terrace,Circasia,,Colombia,631008,false,true,7472049274,Faustine Manneville,406-945-8685,Faustine Deval,875-545-5701,Royal Canin,3.94,once a day,54.4,daily,23.8,calm,chew toy,carrot,low
799,Brantley,bird,Holland Lop,19,53.1,black,12/3/2013,Brantley Elmer,bmcneillm6@desdev.cn,8 Springs Court,Peso da Régua,Vila Real,Portugal,5050-223,true,false,1963668766,Brantley Sherme,809-523-9830,Brantley McNeill,405-353-4965,Royal Canin,5.31,once a day,71.4,daily,4.8,energetic,chew toy,carrot,low
800,Giacobo,rabbit,Labrador Retriever,0,0.1,brown,6/24/2015,Giacobo Greenough,gdumphreym7@ifeng.com,82 Sutteridge Trail,Navashino,,Russia,347417,false,true,6187327239,Giacobo Tennet,948-710-2554,Giacobo Dumphrey,625-160-7690,Royal Canin,2.23,three times a day,17.1,weekly,15.5,shy,feather wand,carrot,moderate
801,Alane,bird,Goldfish,9,91.1,white,12/14/2009,Alane Grzegorzewicz,alem8@1und1.de,65525 Lake View Way,Norrköping,Östergötland,Sweden,602 24,true,true,8391979937,Alane Dyne,848-840-9967,Alane Le Friec,799-973-3281,Iams,7.63,twice a day,23.4,daily,6.6,shy,chew toy,dog biscuit,low
802,Julina,cat,Holland Lop,6,99.9,orange,5/27/2022,Julina Eicke,jdougarym9@sakura.ne.jp,74 Hovde Street,Ollantaytambo,,Peru,,false,true,5363166411,Julina Paffett,175-865-7234,Julina Dougary,964-241-4492,Iams,4.03,once a day,32.4,daily,10.8,friendly,ball,carrot,high
803,Ester,dog,Holland Lop,18,43.6,white,9/3/2011,Ester Dewberry,epionterma@ftc.gov,54 Hermina Center,Naqadeh,,Iran,,true,true,7372468805,Ester Poundesford,737-123-2369,Ester Pionter,293-767-8682,Iams,2.96,once a day,89.9,daily,20.2,friendly,laser pointer,dog biscuit,low
804,Jere,rabbit,Holland Lop,8,60.1,black,3/2/2019,Jere Daniaud,jangermb@amazon.de,068 Pleasure Circle,Jembe Timur,,Indonesia,,true,true,6823752485,Jere Bellchamber,217-276-3223,Jere Anger,131-421-7388,Iams,7.13,twice a day,35,3 times a week,11.8,shy,laser pointer,fish flakes,low
805,Kara,bird,Labrador Retriever,14,69.9,orange,10/21/2008,Kara Tolefree,ksomerledmc@diigo.com,98 Glacier Hill Avenue,Humble,Texas,United States,77346,true,true,5566198478,Kara Shovelbottom,281-779-7599,Kara Somerled,588-176-3159,Hill's Science Diet,1.14,three times a day,46,3 times a week,22.5,shy,laser pointer,fish flakes,low
806,Ray,bird,Holland Lop,5,27.3,gray,4/22/2017,Ray Downes,rleggottmd@scientificamerican.com,8 Fallview Lane,Qinhe,,China,,false,true,7101804901,Ray Ranshaw,685-943-5423,Ray Leggott,833-549-7297,Iams,4.89,twice a day,88.2,daily,1.8,energetic,chew toy,catnip,moderate
807,Flss,bird,Parakeet,13,50.8,brown,10/10/2014,Flss Foggarty,fkarlmannme@soup.io,98634 Talisman Parkway,Třebíč,,Czech Republic,674 01,false,false,6578198980,Flss Blaszkiewicz,561-971-5485,Flss Karlmann,902-558-9077,Iams,6.21,three times a day,61.4,daily,13,playful,stuffed animal,carrot,high
808,Dilly,bird,Goldfish,5,93.2,orange,1/11/2008,Dilly Okey,dgoodburnmf@google.fr,08 Londonderry Junction,Steblevë,,Albania,,true,false,4668716304,Dilly Gutsell,370-720-9717,Dilly Goodburn,662-449-9641,Iams,4.26,once a day,43.9,daily,15.1,calm,stuffed animal,catnip,moderate
809,Katrina,rabbit,Labrador Retriever,11,42.8,black,4/3/2017,Katrina Braycotton,kbrixhammg@mayoclinic.com,1 Twin Pines Drive,Karlshamn,Blekinge,Sweden,374 33,false,false,7471533752,Katrina Holtham,187-308-2913,Katrina Brixham,220-239-0716,Royal Canin,0.52,once a day,27.7,weekly,22.4,energetic,feather wand,carrot,moderate
810,Carmon,cat,Parakeet,0,33.5,orange,10/20/2017,Carmon Hefner,cwalesmh@tamu.edu,2560 Pierstorff Pass,Shawnee Mission,Kansas,United States,66205,true,true,8961758613,Carmon Conti,913-309-0335,Carmon Wales,470-369-9297,Royal Canin,0.32,three times a day,37.4,3 times a week,13.6,calm,ball,fish flakes,low
811,Wolfy,cat,Labrador Retriever,16,36.4,white,7/31/2014,Wolfy Rafter,wjeannardmi@over-blog.com,61 Warbler Road,Krajenka,,Poland,77-430,false,true,6750139559,Wolfy Bernot,417-772-5643,Wolfy Jeannard,796-931-7022,Blue Buffalo,9.86,three times a day,35.3,daily,13.3,shy,feather wand,dog biscuit,moderate
812,Eliot,rabbit,Parakeet,10,37.5,brown,11/4/2016,Eliot Longhirst,eraspermj@symantec.com,22019 Huxley Park,Álvares Machado,,Brazil,19160-000,true,true,9870198668,Eliot Langworthy,838-765-7022,Eliot Rasper,913-804-5201,Iams,5.01,once a day,43.7,3 times a week,13.8,energetic,ball,carrot,moderate
813,Mirilla,rabbit,Goldfish,6,49.8,white,10/26/2011,Mirilla Quillinane,mmockesmk@unblog.fr,5 Longview Place,Mogi Mirim,,Brazil,13800-000,false,true,4570245316,Mirilla Merchant,790-457-9406,Mirilla Mockes,482-949-0861,Hill's Science Diet,5.32,twice a day,1.9,weekly,18,playful,feather wand,bird seed,moderate
814,Rockie,cat,Siamese,12,15.3,orange,4/26/2008,Rockie Saunper,rseacroftml@squidoo.com,9977 Dakota Park,Cernik,,Croatia,51219,true,false,2725393247,Rockie Prangley,662-974-9192,Rockie Seacroft,465-583-5706,Iams,8.78,three times a day,3.7,daily,2.3,playful,stuffed animal,fish flakes,low
815,Judie,cat,Parakeet,15,27.5,black,10/21/2009,Judie Spaduzza,jfeenanmm@ameblo.jp,78 Carberry Terrace,Victoriaville,Québec,Canada,G6T,true,false,8278228600,Judie Jonas,206-215-5271,Judie Feenan,724-115-2497,Iams,3.58,three times a day,11.1,3 times a week,23.6,shy,chew toy,fish flakes,high
816,Sherilyn,dog,Parakeet,18,19.9,white,6/26/2017,Sherilyn Tickner,sdrewetmn@phpbb.com,113 Cardinal Drive,La Paz,,Uruguay,,false,true,1040802429,Sherilyn Loosmore,260-295-6826,Sherilyn Drewet,763-153-4353,Royal Canin,5.53,three times a day,81.4,daily,5.2,shy,ball,dog biscuit,high
817,Aurelea,cat,Parakeet,12,10,gray,2/14/2007,Aurelea Bonsul,apodmoremo@artisteer.com,79 Miller Hill,Tuburan,,Philippines,7306,true,false,6786467948,Aurelea Brugsma,123-612-1163,Aurelea Podmore,328-347-3467,Purina,3.99,once a day,89.8,weekly,23.8,playful,feather wand,fish flakes,low
818,Ondrea,cat,Goldfish,7,64.4,black,11/10/2010,Ondrea Taffurelli,omordanmp@shutterfly.com,698 Burning Wood Street,Opočno,,Czech Republic,517 73,true,true,6632694209,Ondrea McDermid,396-270-6632,Ondrea Mordan,156-144-5869,Purina,2.08,once a day,70.9,daily,9.5,calm,chew toy,fish flakes,moderate
819,Alberik,bird,Goldfish,3,53.7,gray,7/29/2003,Alberik Kenway,asewellmq@opera.com,65 Comanche Parkway,Famões,Lisboa,Portugal,1685-141,false,false,8201273225,Alberik Squibbs,631-786-1611,Alberik Sewell,802-990-9797,Blue Buffalo,8.01,three times a day,3,weekly,7.9,friendly,feather wand,carrot,high
820,Marigold,rabbit,Goldfish,19,71.2,brown,4/13/2011,Marigold Quadrio,mhalladmr@slideshare.net,148 Fulton Center,Santiago Atitlán,,Guatemala,7019,true,true,4120416037,Marigold Davinet,804-383-0867,Marigold Hallad,916-972-2326,Purina,0.14,three times a day,107.1,daily,4.5,playful,laser pointer,catnip,moderate
821,Lebbie,rabbit,Siamese,1,46.7,white,4/18/2017,Lebbie Warlow,lpresdiems@cnet.com,09240 Barnett Court,Borūjerd,,Iran,,false,true,6721138770,Lebbie Bond,976-208-8285,Lebbie Presdie,654-446-9410,Purina,7.63,once a day,98.9,3 times a week,8.5,playful,ball,carrot,high
822,Catlaina,fish,Parakeet,8,88.6,black,6/18/2011,Catlaina Kelby,cloughmanmt@networksolutions.com,8642 Graceland Road,Nishor,,Kosovo,,true,true,8871025570,Catlaina Swayne,936-942-7010,Catlaina Loughman,583-914-7359,Iams,6.43,once a day,58.9,weekly,5.2,shy,ball,fish flakes,moderate
823,Mil,bird,Labrador Retriever,13,64.4,gray,2/23/2022,Mil Easbie,mheedmu@patch.com,7 Kings Trail,Cantuk Kidul,,Indonesia,,true,false,8409850211,Mil Kliner,438-455-9473,Mil Heed,401-509-5397,Blue Buffalo,5.63,three times a day,56.5,3 times a week,11.9,playful,stuffed animal,dog biscuit,high
824,Red,dog,Goldfish,13,64.7,gray,10/10/2002,Red Dormon,rakeherstmv@sakura.ne.jp,83 Farmco Alley,Roriz,Porto,Portugal,4795-193,false,false,7870505937,Red Keast,466-708-9523,Red Akeherst,556-904-3233,Blue Buffalo,7.29,once a day,114.8,3 times a week,18.6,shy,laser pointer,carrot,high
825,Ward,dog,Siamese,4,20.7,black,10/18/2006,Ward Dutton,wcolthurstmw@irs.gov,9053 Kropf Way,Xiaojiang,,China,,true,false,2316784086,Ward Abrey,756-309-7764,Ward Colthurst,780-506-2163,Hill's Science Diet,3.21,twice a day,114,3 times a week,15.5,calm,laser pointer,carrot,moderate
826,Muire,dog,Parakeet,13,75.7,gray,5/18/2006,Muire Salasar,mhillabymx@wufoo.com,293 Burning Wood Lane,Amsterdam Noord west,Provincie Noord-Holland,Netherlands,1039,true,true,6450653658,Muire Waby,867-321-1800,Muire Hillaby,753-493-3314,Royal Canin,1.18,once a day,50.9,daily,12.8,friendly,feather wand,bird seed,high
827,Nydia,cat,Parakeet,1,49.3,brown,1/25/2015,Nydia Bentz,noakinfoldmy@ucla.edu,79297 Kinsman Alley,Dangbigih,,Indonesia,,false,true,3598846739,Nydia Kyme,963-208-0987,Nydia Oakinfold,485-670-6427,Royal Canin,6.9,once a day,117.9,weekly,0.1,calm,feather wand,bird seed,high
828,Casey,rabbit,Labrador Retriever,2,65.9,orange,2/14/2016,Casey Densie,ccosseymz@comcast.net,51 Troy Court,Perechyn,,Ukraine,,false,true,7558523273,Casey Gitting,677-312-0270,Casey Cossey,293-968-0667,Royal Canin,6.55,once a day,83.1,daily,14,energetic,laser pointer,dog biscuit,moderate
829,Maurita,bird,Goldfish,11,78.3,gray,8/5/2009,Maurita Halifax,mschaden0@marketwatch.com,10565 Melby Point,Baochang,,China,,true,true,7672024936,Maurita Mallows,213-652-0590,Maurita Schade,271-558-2291,Hill's Science Diet,6.74,three times a day,72.3,daily,7.6,playful,ball,bird seed,moderate
830,Beryle,bird,Holland Lop,19,76.8,black,6/20/2014,Beryle Hayer,bgossann1@theatlantic.com,58392 Swallow Road,Tarlac City,,Philippines,2300,true,false,5435604639,Beryle Minmagh,432-373-6251,Beryle Gossan,101-513-5376,Hill's Science Diet,1.39,once a day,44.8,3 times a week,4.1,friendly,feather wand,bird seed,high
831,Rollin,fish,Goldfish,8,9.1,black,8/2/2017,Rollin Gerlack,rrashern2@foxnews.com,98474 Gale Parkway,Ballylinan,,Ireland,P56,true,true,7300309736,Rollin Romain,483-197-8808,Rollin Rasher,281-615-1188,Hill's Science Diet,4.09,once a day,44,weekly,1.1,energetic,ball,fish flakes,moderate
832,Libbie,bird,Holland Lop,7,57.2,brown,6/2/2011,Libbie Skures,ltretheweyn3@ask.com,3129 Ohio Parkway,Shuya,,Russia,143172,false,true,2944023445,Libbie McGowran,476-918-4744,Libbie Trethewey,374-484-2873,Royal Canin,2.57,three times a day,16.1,weekly,20.4,energetic,stuffed animal,bird seed,high
833,Chick,fish,Labrador Retriever,7,1.1,orange,8/15/2022,Chick Piggott,ccaplisn4@nps.gov,64 Warner Road,Siekierczyn,,Poland,59-818,false,true,1561525405,Chick Caslane,445-140-1062,Chick Caplis,844-962-2001,Royal Canin,7.83,three times a day,4,daily,7.9,friendly,laser pointer,fish flakes,low
834,Catha,dog,Parakeet,15,35,brown,3/18/2013,Catha Goodere,cdukelown5@edublogs.org,8 Morningstar Trail,Jichang,,China,,true,false,6007689450,Catha Calladine,984-784-4006,Catha Dukelow,179-852-5512,Blue Buffalo,6.57,once a day,35.7,3 times a week,8.9,friendly,feather wand,fish flakes,moderate
835,Sharona,rabbit,Labrador Retriever,9,75.9,orange,8/25/2017,Sharona Fere,smathonnetn6@webeden.co.uk,9279 Main Street,Ramain,,Philippines,9713,true,true,3120633568,Sharona Gratton,580-806-9526,Sharona Mathonnet,428-543-8925,Purina,9.4,three times a day,64.7,weekly,1.7,shy,chew toy,dog biscuit,low
836,Kore,rabbit,Parakeet,10,42.1,gray,9/5/2007,Kore Yurmanovev,kgartshoren7@toplist.cz,2784 Kim Lane,Virginia Beach,Virginia,United States,23454,false,false,6733167595,Kore Ivanov,757-798-7668,Kore Gartshore,422-990-9179,Royal Canin,6.19,three times a day,0.4,weekly,12.5,calm,chew toy,fish flakes,high
837,Emmalyn,fish,Labrador Retriever,1,77.7,brown,11/3/2006,Emmalyn Harpham,ewentn8@apple.com,6486 Fieldstone Parkway,Hägersten,Stockholm,Sweden,126 31,false,false,6410290539,Emmalyn Manchester,694-585-2578,Emmalyn Went,659-755-9111,Royal Canin,9.77,once a day,30.6,weekly,18.4,calm,stuffed animal,catnip,high
838,Conrade,rabbit,Goldfish,4,1.7,orange,4/16/2017,Conrade Belvard,cmarfieldn9@livejournal.com,20605 Nova Hill,Skole,,Ukraine,,true,false,8955396488,Conrade Crowche,265-239-8741,Conrade Marfield,799-245-6447,Iams,2.26,twice a day,6.2,weekly,10.8,energetic,ball,fish flakes,low
839,Kile,dog,Siamese,12,57.6,black,8/10/2015,Kile Print,kclurowna@storify.com,950 Sunbrook Avenue,Caçapava do Sul,,Brazil,96570-000,false,false,1067453405,Kile Gleaves,515-789-0927,Kile Clurow,156-946-9640,Blue Buffalo,5.37,once a day,71.1,daily,2,calm,feather wand,dog biscuit,high
840,Jules,cat,Siamese,8,26.2,orange,11/2/2014,Jules Jope,jgreenshieldsnb@webeden.co.uk,6332 Express Center,Heiiyugou,,China,,true,true,1204564494,Jules Clover,821-202-3650,Jules Greenshields,518-242-6008,Iams,7.9,once a day,31.1,weekly,1.8,energetic,feather wand,catnip,high
841,Sunny,fish,Labrador Retriever,12,63.2,brown,4/12/2022,Sunny Quartly,sortasnc@pbs.org,48 7th Trail,Itamarandiba,,Brazil,39670-000,true,false,3267948779,Sunny Varvara,894-992-7342,Sunny Ortas,259-688-0065,Blue Buffalo,1.99,once a day,17.5,weekly,1,playful,feather wand,bird seed,moderate
842,Winny,cat,Goldfish,8,18.8,white,9/19/2021,Winny Rigeby,wkenennd@xrea.com,231 Hazelcrest Street,Skärholmen,Stockholm,Sweden,127 86,false,true,4722016262,Winny Dahlen,230-687-7380,Winny Kenen,693-872-9707,Hill's Science Diet,6.13,once a day,89.4,3 times a week,11.6,playful,laser pointer,dog biscuit,moderate
843,Sigfrid,bird,Labrador Retriever,10,90,orange,3/11/2022,Sigfrid Kyndred,spamplinne@google.com.br,089 Commercial Lane,Manggu,,Indonesia,,true,true,8643034155,Sigfrid Carthy,296-721-4006,Sigfrid Pamplin,909-326-8208,Royal Canin,1.95,three times a day,7.4,3 times a week,4.1,friendly,ball,dog biscuit,high
844,Marrilee,rabbit,Siamese,9,26.1,brown,6/23/2017,Marrilee Dade,mewellsnf@nih.gov,311 Kenwood Place,Hongxing,,China,,true,true,4465786839,Marrilee Kubes,877-402-4549,Marrilee Ewells,949-854-2512,Purina,0.01,once a day,70.3,weekly,12.6,energetic,laser pointer,carrot,moderate
845,Rudyard,bird,Goldfish,6,63.4,gray,12/19/2005,Rudyard Narramor,rpiotrng@blogger.com,653 Namekagon Place,Sandymount,,Ireland,D04,true,false,8116759695,Rudyard Bridewell,240-281-3230,Rudyard Piotr,123-482-5730,Royal Canin,3.22,three times a day,75.3,3 times a week,4.9,calm,chew toy,fish flakes,moderate
846,Wallis,rabbit,Labrador Retriever,2,57.1,brown,8/14/2016,Wallis Caroli,wjeannaudnh@booking.com,1982 Calypso Avenue,Guanshan,,China,,false,false,5427889373,Wallis Illidge,805-168-2750,Wallis Jeannaud,445-475-6033,Iams,5.55,three times a day,85.1,daily,16.8,energetic,feather wand,catnip,moderate
847,Bobby,dog,Holland Lop,0,91.6,gray,1/16/2019,Bobby Balme,bmompessonni@google.co.uk,41371 Caliangt Pass,Nestório,,Greece,,true,true,2582054830,Bobby O'Gready,798-835-9671,Bobby Mompesson,272-849-0897,Iams,1.66,once a day,6.4,3 times a week,4.2,calm,ball,fish flakes,high
848,Lu,bird,Parakeet,7,19.6,orange,2/29/2000,Lu Goolding,lrowenj@behance.net,3 Anhalt Terrace,Zaozhuang,,China,,false,true,3623979950,Lu Cuerda,562-855-9431,Lu Rowe,515-817-2432,Blue Buffalo,7.05,three times a day,99.2,daily,15.3,playful,stuffed animal,catnip,moderate
849,De witt,fish,Holland Lop,5,36.2,gray,7/31/2000,De witt Delepine,dwittnk@ucla.edu,32937 Anhalt Street,Insrom,,Indonesia,,true,false,4345312623,De witt Colquete,388-600-1250,De witt Summerskill,111-980-1091,Royal Canin,6.34,twice a day,96.5,3 times a week,23.4,energetic,laser pointer,dog biscuit,moderate
850,Clemente,dog,Holland Lop,12,3.2,black,2/2/2012,Clemente Appleton,clawrinsonnl@discovery.com,013 Browning Crossing,Subic,,Philippines,2209,false,false,6043070304,Clemente Ivain,436-568-9511,Clemente Lawrinson,904-859-7672,Hill's Science Diet,1.01,twice a day,9.2,daily,5.8,playful,feather wand,carrot,low
851,Bobbe,rabbit,Goldfish,14,76.5,gray,7/10/2012,Bobbe Shemilt,bkerssnm@mit.edu,0 Kingsford Terrace,Egindiköl,,Kazakhstan,,false,false,2300172761,Bobbe Northleigh,555-780-5779,Bobbe Kerss,222-615-9085,Royal Canin,4.8,twice a day,53.8,3 times a week,2.5,shy,stuffed animal,bird seed,low
